PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,BLDG_INTERACTION_ID,ENERGY_USE,ENERGY_INFLUENCE,ELEC_C_AVOIDED,ELEC_AVOIDED,FUEL_C_AVOIDED,FUEL_AVOIDED,BINTA_CN,PLT_CN,SBP_CN,CND_CN,MTRE_CN,PREV_PLT_CN
1856813,1,17,3,31,23202,1,1,2,2,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,785698509290487,352769390489998,785698475290487,785698468290487,785698494290487,
1856813,1,17,3,31,23202,1,1,4,1,HEATING,CLIMATE,1.979388228,1.782093232,43.67269692,212867.2521,785698514290487,352769390489998,785698475290487,785698468290487,785698496290487,
1856981,1,17,3,31,23412,1,1,1,1,COOLING,SHADING,0.150363229,0.135375814,,,785693091290487,352769399489998,785693067290487,785693064290487,785693084290487,
1855668,1,17,3,31,22170,1,3,1,4,COOLING,CLIMATE,9.857982954,8.875391118,,,785697445290487,352769404489998,785697423290487,785697416290487,785697440290487,
1857898,1,17,3,31,22191,1,1,1,1,HEATING,SHADING,-10.89478974,-9.80885446,-239.3103198,-1166434.266,785693204290487,352769406489998,785693175290487,785693172290487,785693194290487,
1852362,4,17,3,31,20100,1,1,1,2,COOLING,CLIMATE,1.7761266,1.599091652,,,1287852863290487,352769416489998,1287852831290487,1287852826290487,1287852846290487,
1916239,5,18,4,89,20090,1,1,2,1,COOLING,SHADING,5.950087391,5.357014008,,,1287852545290487,352769444489998,1287852508290487,1287852502290487,1287852528290487,
1797331,6,17,3,111,20201,1,1,1,1,HEATING,CLIMATE,1.310359309,1.179749593,28.95768845,141144.1016,489743255126144,352769861489998,478152414489998,478152413489998,488918161126144,
1857913,2,17,3,31,22176,1,2,1,4,HEATING,SHADING,-9.549871562,-8.597990647,-209.7684189,-1022442.626,942083511290487,559740563126144,942083487290487,942083483290487,942083506290487,352769819489998.0
1857132,2,17,3,31,23612,1,1,3,4,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,1287852778290487,992948058290487,1287852748290487,1287852742290487,1287852767290487,352769670489998.0
1467849,1,55,5,59,21553,1,1,3,1,COOLING,CLIMATE,5.036101176,4.534129127,,,785692939290487,923694,785692881290487,785692876290487,785692901290487,
1467849,1,55,5,59,21553,1,1,5,3,COOLING,CLIMATE,10.08184347,9.0769384,,,785692947290487,923694,785692881290487,785692876290487,785692903290487,
1468333,1,55,5,59,21795,1,3,2,1,COOLING,CLIMATE,10.0072233,9.009755973,,,942083569290487,924132,942083528290487,942083525290487,942083554290487,
1469307,1,55,5,59,22221,1,1,11,1,HEATING,SHADING,-0.012508865,-0.011262047,-0.274764408,-1339.24279,942163637290487,924136,942163483290487,942163480290487,942163513290487,
1469307,1,55,5,59,22221,1,1,23,1,COOLING,CLIMATE,9.851764607,8.869792582,,,942163652290487,924136,942163483290487,942163480290487,942163525290487,
1853001,4,17,3,43,20201,1,2,1,2,COOLING,CLIMATE,2.141186689,1.927764474,,,942212254290487,352769491489998,942212233290487,942212229290487,942212250290487,
1857032,1,17,3,31,23469,1,1,1,3,COOLING,SHADING,83.34418893,75.036879,,,785694233290487,352769522489998,785694214290487,785694207290487,785694229290487,
1852370,5,17,3,31,20112,1,1,5,2,COOLING,CLIMATE,9.851764607,8.869792582,,,491759351126144,352769766489998,491759306126144,491759305126144,491759327126144,
1852370,5,17,3,31,20112,1,1,9,1,HEATING,WINDBREAK,8.686140491,7.820351741,187.6699574,914731.4216,491759354126144,352769766489998,491759306126144,491759305126144,491759329126144,
1796301,4,17,3,97,20087,1,1,9,1,COOLING,CLIMATE,5.030047367,4.52867873,,,491759447126144,352769767489998,491759370126144,491759369126144,491759391126144,
1796301,4,17,3,97,20087,1,1,15,1,HEATING,CLIMATE,3.169170678,2.853284432,70.13966405,341871.2057,491759453126144,352769767489998,491759370126144,491759369126144,491759397126144,
1796301,4,17,3,97,20087,1,1,18,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,491759457126144,352769767489998,491759370126144,491759369126144,491759400126144,
1852373,4,17,3,31,20023,1,1,2,1,HEATING,CLIMATE,0.345539022,0.311097512,7.623583142,37158.48366,489743229126144,352769841489998,478151822489998,478151821489998,488918066126144,
1837502,5,17,3,197,20155,1,1,1,2,COOLING,SHADING,0.375908055,0.338439519,,,489743233126144,352769850489998,478152132489998,478152130489998,488918146126144,
1795853,4,17,3,89,20007,1,1,4,1,COOLING,CLIMATE,1.764624192,1.588735744,,,491757502126144,352769784489998,491757463126144,491757461126144,491757479126144,
1854651,1,17,3,31,23232,1,2,2,2,HEATING,SHADING,-0.131127408,-0.118057318,-2.880288896,-14038.95857,489743144126144,352769800489998,478150005489998,478150004489998,488917950126144,
1854651,1,17,3,31,23232,1,2,2,3,HEATING,CLIMATE,0.989137905,0.890545847,21.82250993,106366.175,489743145126144,352769800489998,478150005489998,478150004489998,488917950126144,
1857047,1,17,3,31,23508,1,1,4,1,COOLING,CLIMATE,5.060316412,4.555930715,,,489743152126144,352769810489998,478150744489998,478150742489998,488917965126144,
1857913,1,17,3,31,22176,1,2,1,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,489743173126144,352769819489998,478151048489998,478151047489998,488917978126144,
1852341,4,17,3,31,20182,1,1,1,1,HEATING,CLIMATE,14.37645672,12.94348721,318.6823122,1553305.22,489743185126144,352769831489998,478151403489998,478151402489998,488917986126144,
1852341,4,17,3,31,20182,1,1,2,1,COOLING,CLIMATE,5.075450934,4.569556708,,,489743187126144,352769831489998,478151403489998,478151402489998,488917987126144,
1852459,5,17,3,31,20051,1,1,1,2,COOLING,CLIMATE,10.06940678,9.065741329,,,489743194126144,352769833489998,478151483489998,478151481489998,488917998126144,
1852998,4,17,3,43,20016,1,1,5,1,COOLING,SHADING,101.8173874,91.6687663,,,489743204126144,352769835489998,478151558489998,478151556489998,488918009126144,
1796375,4,17,3,97,20011,1,2,15,1,HEATING,SHADING,-5.823092175,-5.242677007,-127.9075672,-623440.5999,489743212126144,352769839489998,478151657489998,478151656489998,488918025126144,
1857727,1,17,3,31,21962,1,2,3,1,COOLING,CLIMATE,0.0,0.0,,,785696766290487,352769531489998,785696724290487,785696720290487,785696747290487,
1857727,1,17,3,31,21962,1,2,3,1,HEATING,CLIMATE,0.0,0.0,0.0,0.0,785696766290487,352769531489998,785696724290487,785696720290487,785696747290487,
1857727,1,17,3,31,21962,1,2,3,2,COOLING,SHADING,0.0,0.0,,,785696767290487,352769531489998,785696724290487,785696720290487,785696747290487,
1853029,4,17,3,43,20061,1,1,3,1,HEATING,SHADING,-0.094894835,-0.085436217,-2.084419603,-10159.77268,942084228290487,352769571489998,942084184290487,942084179290487,942084205290487,
1796131,4,17,3,93,20008,1,1,4,1,HEATING,SHADING,-1.339311188,-1.205815701,-29.41874019,-143391.3366,942083018290487,352769574489998,942082970290487,942082966290487,942082988290487,
1796131,4,17,3,93,20008,1,1,10,2,HEATING,SHADING,-8.437013157,-7.596056108,-185.3238443,-903296.1157,942083027290487,352769574489998,942082970290487,942082966290487,942082994290487,
1916052,4,18,4,89,20075,1,1,1,2,HEATING,SHADING,0.0,0.0,0.0,0.0,942083666290487,352769578489998,942083648290487,942083645290487,942083661290487,
1857782,1,17,3,31,22042,1,2,1,2,HEATING,SHADING,-3.737130998,-3.364633457,-82.08823079,-400110.3058,785696001290487,352769600489998,785695966290487,785695959290487,785695986290487,
1857977,1,17,3,31,22301,1,1,3,1,COOLING,SHADING,0.53701153,0.483485048,,,785695250290487,352769606489998,785695212290487,785695205290487,785695232290487,
1852335,4,17,3,31,20130,1,2,1,3,COOLING,SHADING,0.655154066,0.589851758,,,785697737290487,352769609489998,785697715290487,785697709290487,785697730290487,
1854669,1,17,3,31,23592,1,1,2,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,785693681290487,352769614489998,785693645290487,785693638290487,785693664290487,
1852442,4,17,3,31,20004,1,2,5,2,COOLING,CLIMATE,4.936213328,4.444197574,,,785698315290487,352769622489998,785698266290487,785698262290487,785698293290487,
