PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,SPCD,SPGRPCD,SEEDLING_COUNT,TPA_UNADJ,IS_MAINTAINED_AREA,IS_PLANTED,CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN
1854646,1,17,3,31,23237,13,1,313,41,2,149.9305649023,0,2,785693020290487,352769389489998,785693013290487,785693006290487,
1852455,4,17,3,31,20123,14,1,541,36,2,149.9305649023,0,,1287853841290487,352769424489998,1287853835290487,1287853826290487,
1795839,4,17,3,89,20028,14,1,405,29,1,74.9652824512,0,,1287853984290487,352769435489998,1287853975290487,1287853966290487,
1852359,4,17,3,31,20203,13,1,972,41,1,74.9652824512,0,2,942212674290487,352769474489998,942212662290487,942212656290487,
1852359,4,17,3,31,20203,11,2,972,41,1,74.9652824512,0,2,942212671290487,352769474489998,942212663290487,942212657290487,
1852371,4,17,3,31,20083,13,1,6918,55,25,1874.1320612789,0,,942210939290487,352769487489998,942210934290487,942210929290487,
1852440,4,17,3,31,20158,12,1,544,36,1,74.9652824512,0,2,942211326290487,352769489489998,942211320290487,942211316290487,
1795838,4,17,3,89,20052,13,1,742,37,2,149.9305649023,0,,942211619290487,352769490489998,942211615290487,942211611290487,
1852467,8,17,3,31,20098,13,1,6918,55,9,674.6875420604,0,,942211743290487,352769499489998,942211733290487,942211729290487,
1916222,6,18,4,89,20048,13,1,544,36,4,299.8611298046,0,2,942231677290487,352769508489998,942231670290487,942231665290487,
1857055,1,17,3,31,23500,13,2,974,41,1,74.9652824512,0,2,785695805290487,352769526489998,785695800290487,785695791290487,
1797301,4,17,3,111,20105,13,1,6918,55,35,2623.7848857905,0,,942082552290487,352769564489998,942082541290487,942082536290487,
1795832,4,17,3,89,20017,13,1,972,41,1,74.9652824512,0,,942084947290487,352769568489998,942084936290487,942084929290487,
1795845,4,17,3,89,20023,14,1,6748,55,1,74.9652824512,0,,942084098290487,352769569489998,942084089290487,942084083290487,
1917873,4,18,4,73,20155,12,1,931,41,12,899.5833894139,0,,942083048290487,352769577489998,942083041290487,942083037290487,
1915975,4,18,4,89,20027,12,1,931,41,1,74.9652824512,0,2,942084667290487,352769581489998,942084661290487,942084655290487,
1857739,1,17,3,31,21950,11,3,544,36,1,74.9652824512,0,2,785698736290487,352769603489998,785698732290487,785698721290487,
1852401,5,17,3,31,20132,14,1,833,26,1,74.9652824512,1,2,785697824290487,352769626489998,785697817290487,785697810290487,
1852401,5,17,3,31,20132,14,1,6918,55,10,749.6528245116,1,2,785697825290487,352769626489998,785697817290487,785697810290487,
1853030,4,17,3,43,20009,12,1,541,36,1,74.9652824512,0,,785695555290487,352769644489998,785695549290487,785695545290487,
