SAMPLE_NAME,REPORT_YEAR,ATTRIBUTE_NAME,CALCULATION_NAME,ADJUSTMENT_EXPRESSION,REQUIRED_SAMPLE_CONSTRAINT,DOMAIN_TYPE,CN,PSS_CN,PATTR_CN
ChiILUA2021FS,2021,Annual fuel-based carbon emissions avoided,Fuel Carbon Emissions Avoided,*CASE WHEN ee.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN ee.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1268196390290487,1268180337290487,552303649126144
ChiILUA2021FS,2021,"Net sawlog wood volume, live sawtimber trees",Net Sawlog Wood Volume,*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1268196404290487,1268180337290487,552303663126144
ChiILUA2021FS,2021,"Area of water cover, in acres",Proportion Water Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,1268196412290487,1268180337290487,552303671126144
ChiILUA2021FS,2021,"Sound bole wood volume, live timber trees","Sound Bole Wood Volume, Live Timber Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1268196415290487,1268180337290487,552303674126144
ChiILUA2021FS,2021,Number of live trees,Number of Live Trees,*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1268196419290487,1268180337290487,552303678126144
ChiILUA2021FS,2021,"Basal area, live mother trees","Basal Area, Live Mother Trees",*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1302248765290487,1268180337290487,1226802218290487
ChiILUA2021FS,2021,Number of live mother trees,Number of Live Mother Trees,*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1302248766290487,1268180337290487,1226802219290487
ChiILUA2021Inv,2021,"Belowground biomass, live and dead trees","Belowground Biomass, Live and Dead Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1268196426290487,1268180338290487,552303636126144
ChiILUA2021Inv,2021,"Bole bark and wood biomass, live timber trees","Bole Bark and Wood Biomass, Live Timber Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1268196428290487,1268180338290487,552303638126144
ChiILUA2021Inv,2021,"Net sawlog wood volume, live sawtimber trees",Net Sawlog Wood Volume,*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1268196453290487,1268180338290487,552303663126144
ChiILUA2021Inv,2021,"Area of sampled land and water, in acres",All Conditions,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,1268196457290487,1268180338290487,552303667126144
ChiILUA2021Inv,2021,"Sound sawlog wood volume, live sawtimber trees",Sound Sawlog Wood Volume,*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1268196465290487,1268180338290487,552303675126144
ChiILUA2021Inv,2021,Number of live trees,Number of Live Trees,*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1268196468290487,1268180338290487,552303678126144
ChiILUA2021Inv,2021,Number of live seedlings,Number of Live Seedlings,*CASE WHEN sdl.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN sdl.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,SEEDLING,1268196469290487,1268180338290487,552303679126144
ChiILUA2021FS,2021,"Gross total-stem wood volume, live timber species","Gross Total-Stem Wood Volume, Live Timber",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676619884290487,1268180337290487,1676618464290487
ChiILUA2021FS,2021,Number of live and dead mother trees,Number of Live and Dead Mother Trees,*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1536927330290487,1268180337290487,1536921284290487
ChiILUA2021Inv,2021,"Sound total-stem wood volume, live woodland specie","Sound Total-Stem Wood Volume, Live Woodland",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1674775467290487,1268180338290487,1674062054290487
ChiILUA2021Inv,2021,"Sound total-stem wood volume, live trees","Sound Total-Stem Wood Volume, Live Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676620703290487,1268180338290487,1676618685290487
ChiILUA2022Cur,2022,"Belowground biomass, live and dead trees","Belowground Biomass, Live and Dead Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490993318290487,1490993140290487,552303636126144
ChiILUA2022Cur,2022,"Bole bark and wood biomass, live timber trees","Bole Bark and Wood Biomass, Live Timber Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490993320290487,1490993140290487,552303638126144
ChiILUA2022Cur,2022,"Aboveground biomass, live and dead trees","Aboveground Biomass, Live and Dead Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490993326290487,1490993140290487,552303644126144
ChiILUA2022Cur,2022,Annual electricity-based carbon emissions avoided,Electricity Carbon Emissions Avoided,*CASE WHEN ee.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN ee.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1490993328290487,1490993140290487,552303646126144
ChiILUA2022Cur,2022,"Gross bole wood volume, live timber trees","Gross Bole Wood Volume, Live Timber Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490993337290487,1490993140290487,552303655126144
ChiILUA2022Cur,2022,Leaf area (iTree),Leaf Area (iTree),*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1490993341290487,1490993140290487,552303659126144
ChiILUA2022Cur,2022,"Net sawlog wood volume, live sawtimber trees (boar",Net Sawlog Wood Volume (Board Feet),*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490993343290487,1490993140290487,552303661126144
ChiILUA2022Cur,2022,"Net sawlog wood volume, live sawtimber trees",Net Sawlog Wood Volume,*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490993345290487,1490993140290487,552303663126144
ChiILUA2022Cur,2022,"Sound bole wood volume, live timber trees","Sound Bole Wood Volume, Live Timber Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490993356290487,1490993140290487,552303674126144
WasDCUA2022Cur,2022,"Stump bark wood biomass, live and dead timber tree","Stump Bark Wood Biomass, Live and Dead Timber Tree",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490982562290487,1490982113290487,552303676126144
WasDCUA2022Cur,2022,"Sound total-stem wood volume, live and dead woodla","Sound Total-Stem Wood Volume, Live & Dead Woodland",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1674774778290487,1490982113290487,1674062053290487
WasDCUA2022Cur,2022,"Annual gross carbon sequestration, live trees (FIA","Gross C Sequestration (FIA), Live Trees",*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1490982539290487,1490982113290487,552303653126144
WasDCUA2022FS,2022,"Belowground biomass, live and dead trees","Belowground Biomass, Live and Dead Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490982573290487,1490982114290487,552303636126144
WasDCUA2022FS,2022,Crown ground area,Crown Ground Area (iTree),*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1490982579290487,1490982114290487,552303642126144
WasDCUA2022FS,2022,Annual fuel-based carbon emissions avoided,Fuel Carbon Emissions Avoided,*CASE WHEN ee.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN ee.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1490982586290487,1490982114290487,552303649126144
WasDCUA2022FS,2022,Annual fuel use avoided,Fuel Use Avoided,*CASE WHEN ee.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN ee.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1490982587290487,1490982114290487,552303650126144
WasDCUA2022FS,2022,"Area of permeable cover, in acres",Proportion Permeable Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,1490982605290487,1490982114290487,552303668126144
WasDCUA2022FS,2022,"Area of shrub/seedling cover, in acres",Proportion Shrub/Seed Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,1490982606290487,1490982114290487,552303669126144
WasDCUA2022FS,2022,Number of live seedlings,Number of Live Seedlings,*CASE WHEN sdl.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN sdl.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,SEEDLING,1490982616290487,1490982114290487,552303679126144
WasDCUA2022FS,2022,"Gross total-stem wood volume, live and dead timber","Gross Total-Stem Wood Volume, Live and Dead Timber",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676620162290487,1490982114290487,1676618353290487
WasDCUA2022FS,2022,"Sound total-stem wood volume, live trees","Sound Total-Stem Wood Volume, Live Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676620167290487,1490982114290487,1676618685290487
WasDCUA2022FS,2022,Number of live and dead trees,Number of Live and Dead Trees,*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1536927291290487,1490982114290487,1536921283290487
WasDCUA2022Inv,2022,Annual value of carbon emissions avoided,"Carbon Emission Avoided (iTree), Dollar Value",*CASE WHEN binta.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN binta.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1490982627290487,1490982115290487,552303639126144
WasDCUA2022Inv,2022,"Aboveground biomass, live and dead trees","Aboveground Biomass, Live and Dead Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490982632290487,1490982115290487,552303644126144
WasDCUA2022Inv,2022,"Aboveground biomass, live and dead saplings","Aboveground Biomass, Saplings",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490982660290487,1490982115290487,552303672126144
WasDCUA2022Inv,2022,"Net sawlog wood volume, live sawtimber trees",Net Sawlog Wood Volume,*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490982651290487,1490982115290487,552303663126144
WasDCUA2022Inv,2022,"Area of herbaceous cover, in acres",Proportion Herbaceous Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,1490982653290487,1490982115290487,552303665126144
WasDCUA2022Inv,2022,"Gross total-stem wood volume, live and dead woodla","Gross Total-Stem Wood Volume, Live & Dead Woodland",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1674775604290487,1490982115290487,1674062051290487
