SAMPLE_NAME,REPORT_YEAR,DOMAIN_NAME,DOMAIN_TYPE,EXPRESSION,CN,PSS_CN,PDOM_CN
PorORUA2019Inv,2019,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,940915684290487,940884075290487,417940978489998
PorORUA2021Cur,2021,Urban Forest,LAND,,1268197221290487,1268197214290487,414427308489998
PorORUA2021Cur,2021,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,1268197222290487,1268197214290487,417940978489998
PorORUA2021FS,2021,"Live Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=1,1302247128290487,1268197215290487,1268166131290487
PorORUA2021FS,2021,"Live Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=5,1302247129290487,1268197215290487,1268166132290487
PorORUA2021FS,2021,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247130290487,1268197215290487,1268166839290487
PorORUA2021FS,2021,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,1268197232290487,1268197215290487,414427301489998
PorORUA2021FS,2021,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1268197233290487,1268197215290487,414427302489998
PorORUA2021Inv,2021,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,1268197241290487,1268197216290487,417940978489998
PorORUA2022Cur,2022,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,1490872348290487,1490872125290487,414427306489998
PorORUA2022FS,2022,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,1490872361290487,1490872126290487,414427306489998
PorORUA2022FS,2022,Urban Forest,LAND,,1490872363290487,1490872126290487,414427308489998
PorORUA2022FS,2022,Live Seedling,SEEDLING,,1490872368290487,1490872126290487,414427304489998
PorORUA2022Inv,2022,"Live Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=1,1490872383290487,1490872127290487,1268166131290487
ProRIUA2021Cur,2021,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247202290487,1255517952290487,1268166839290487
ProRIUA2021Cur,2021,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,1255521394290487,1255517952290487,417940978489998
ProRIUA2021FS,2021,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,1255521400290487,1255517953290487,414427306489998
ProRIUA2021FS,2021,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1255521401290487,1255517953290487,414427309489998
ProRIUA2021FS,2021,Live Seedling,SEEDLING,,1255521407290487,1255517953290487,414427304489998
ProRIUA2021Inv,2021,Urban Forest,LAND,,1255521412290487,1255517954290487,414427308489998
ProRIUA2021Inv,2021,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1255521415290487,1255517954290487,414427302489998
ProRIUA2022Cur,2022,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,1490994785290487,1490994423290487,414427306489998
ProRIUA2022FS,2022,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1490994809290487,1490994424290487,1268170529290487
ProRIUA2022Inv,2022,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,1490994812290487,1490994425290487,414427306489998
ProRIUA2022Inv,2022,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1490994818290487,1490994425290487,414427303489998
ProRIUA2022Inv,2022,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,1490994815290487,1490994425290487,417940978489998
SanCAUA2017FS,2017,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,557732778126144,518922834126144,414427306489998
SanCAUA2017FS,2017,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,557732775126144,518922834126144,414427302489998
SanCAUA2018FS,2018,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,759239907290487,759239334290487,414427301489998
SanCAUA2018Inv,2018,Sampled Land,LAND,id_cond.cond_status_cd<5,759239911290487,759239335290487,414427310489998
SanCAUA2018Inv,2018,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,759239917290487,759239335290487,414427301489998
SanCAUA2019Cur,2019,Urban Forest,LAND,,925134581290487,925134566290487,414427308489998
SanCAUA2019Cur,2019,"Live Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=5,1302246905290487,925134566290487,1268166132290487
SanCAUA2019FS,2019,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,925134589290487,925134567290487,414427309489998
SanCAUA2019FS,2019,"Live Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=5,1302246893290487,925134567290487,1268166132290487
BalMDUA2020Inv,2020,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1301335639290487,1301326841290487,414427309489998
BalMDUA2020Inv,2020,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,1301335644290487,1301326841290487,414427301489998
BalMDUA2020Inv,2020,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,1301335645290487,1301326841290487,417940978489998
BalMDUA2021Cur,2021,Urban Forest,LAND,,1274824622290487,1263010790290487,414427308489998
BalMDUA2021Cur,2021,"Live Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=5,1302247265290487,1263010790290487,1268166132290487
BalMDUA2021Cur,2021,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1274824627290487,1263010790290487,414427302489998
BalMDUA2021FS,2021,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1274824628290487,1263010791290487,414427309489998
BalMDUA2021Inv,2021,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1301383189290487,1301382517290487,414427309489998
BalMDUA2022All,2022,Nonsampled Land,LAND,id_cond.cond_status_cd=5,1490736608290487,1490736203290487,414427311489998
BalMDUA2022Cur,2022,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,1490736613290487,1490736204290487,417940978489998
BalMDUA2022FS,2022,Sampled Land,LAND,id_cond.cond_status_cd<5,1490736622290487,1490736205290487,414427310489998
BalMDUA2022FS,2022,"Live Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=1,1490736631290487,1490736205290487,1268166131290487
BalMDUA2022FS,2022,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1490736629290487,1490736205290487,414427303489998
BalMDUA2022Inv,2022,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,1490736637290487,1490736206290487,414427306489998
BalMDUA2022Inv,2022,"Live Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=5,1490736646290487,1490736206290487,1268166132290487
BalMDUA2022Inv,2022,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1490736643290487,1490736206290487,414427303489998
BurVTUA2022Cur,2022,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1490737769290487,1490737735290487,1268170529290487
BurVTUA2022Cur,2022,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1490737763290487,1490737735290487,414427302489998
BurVTUA2022Cur,2022,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1490737764290487,1490737735290487,414427303489998
BurVTUA2022Inv,2022,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1490737796290487,1490737737290487,1268170529290487
DesIAUA2021Cur,2021,Urban Forest,LAND,,1256473679290487,1256472517290487,414427308489998
DesIAUA2021Cur,2021,Sampled Land,LAND,id_cond.cond_status_cd<5,1256473676290487,1256472517290487,414427310489998
DesIAUA2021Cur,2021,Live Seedling,SEEDLING,,1256473684290487,1256472517290487,414427304489998
DesIAUA2022Cur,2022,"Live Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=1,1490995755290487,1490995742290487,1268166131290487
HouTXUA2017All,2017,Nonsampled Land,LAND,id_cond.cond_status_cd=5,683423672126144,683403137126144,414427311489998
HouTXUA2017FS,2017,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,683423684126144,683403139126144,414427309489998
HouTXUA2018Cur,2018,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247050290487,772955733290487,1268166839290487
HouTXUA2018Cur,2018,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247051290487,772955733290487,1268170529290487
HouTXUA2018Cur,2018,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,773029180290487,772955733290487,414427302489998
HouTXUA2018Cur,2018,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,773029181290487,772955733290487,414427303489998
HouTXUA2018FS,2018,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,773029188290487,772955734290487,414427301489998
HouTXUA2018FS,2018,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,773029190290487,772955734290487,414427303489998
HouTXUA2018FS,2018,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,773029187290487,772955734290487,417940978489998
HouTXUA2018Inv,2018,Urban Forest,LAND,,773030548290487,772955735290487,414427308489998
HouTXUA2018Inv,2018,Sampled Land,LAND,id_cond.cond_status_cd<5,773030544290487,772955735290487,414427310489998
HouTXUA2018Inv,2018,"Live Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=1,1302247044290487,772955735290487,1268166131290487
HouTXUA2018Inv,2018,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,773030549290487,772955735290487,417940978489998
HouTXUA2019Cur,2019,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,925166323290487,925163350290487,414427302489998
HouTXUA2019FS,2019,"Live Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=5,1302247057290487,925163351290487,1268166132290487
HouTXUA2019FS,2019,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,925166330290487,925163351290487,417940978489998
