PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,CONDID,FIA_VOLUME_LOCATION_GROUP,COND_STATUS_CD,COND_NONSAMPLE_REASN_CD,FIA_LANDUSE,RESERVCD,OWNGRPCD,OWNCD,PHYSCLCD,STDORGCD,STDORGSP,FLDTYPCD,FLDSZCD,FLDAGE,MAPDEN,CANOPY_CVR_SAMPLE_METHOD_CD,LIVE_CANOPY_CVR_PCT,LIVE_MISSING_CANOPY_CVR_PCT,NBR_LIVE_STEMS,AFFORESTATION_CD,PREV_AFFORESTATION_CD,CHAINING_CD,ITREE_LANDUSE,LAND_COVER_CLASS_CD,PRODUCTIVITY_STATUS,COND_SITECLASS_FLD,DISTURBANCE_CD1,DISTURBANCE_CD2,DISTURBANCE_CD3,DISTURBANCE_YEAR1,DISTURBANCE_YEAR2,DISTURBANCE_YEAR3,TREATMENT_CD1,TREATMENT_CD2,TREATMENT_CD3,TREATMENT_YEAR1,TREATMENT_YEAR2,TREATMENT_YEAR3,CN,PLT_CN,PREV_PLT_CN,INVASIVE_STATUS_CD,INVASIVE_NONSAMPLE_REASON_CD,SITE_CLASS_CD,SITE_CLASS_METHOD,SITE_CLASS_SIT_CN,SITE_INDEX,BALIVE,COVER_CLASS,FOREST_COND_STATUS_CHANGE_CD
1853041,9,17,3,43,20005,2,S23LCS,5,2.0,14,,40.0,46.0,,,,,,,,1,11,11.0,,,,,,,,,,,,,,,,,,,,,1287853055290487,352769438489998,,,,,,,,,1.0,
1837530,4,17,3,197,20068,1,S23LCS,2,,11,0.0,40.0,46.0,,,,,,,,1,0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,,,,,1287855255290487,352769440489998,,3.0,10.0,,,,,,3.0,
1916056,5,18,4,89,20085,1,S23LCS,4,,19,0.0,,,,,,,,,,1,0,0.0,,0.0,,0.0,7.0,,,,,,,,,,,,,,,,1287855258290487,352769443489998,,3.0,10.0,,,,,,10.0,
1852380,4,17,3,31,20088,1,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,45,45.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,942211254290487,352769450489998,,2.0,,,,,,34.5538,1.0,
1856817,1,17,3,31,23198,2,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,10,10.0,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,785698599290487,352769451489998,,1.0,,,,,,,1.0,
1857035,1,17,3,31,23466,3,S23LCS,5,2.0,20,,40.0,46.0,,,,,,,,1,30,30.0,,,,,,,,,,,,,,,,,,,,,785694779290487,352769456489998,,,,,,,,,1.0,
1857014,1,17,3,31,23487,1,S23LCS,2,,13,0.0,30.0,32.0,,,,,,,,1,0,0.0,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,785698652290487,352769457489998,,3.0,10.0,,,,,,9.0,
1857087,1,17,3,31,23522,1,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,14,14.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785696623290487,352769459489998,,2.0,,,,,,3.2329,1.0,
1857724,1,17,3,31,21965,2,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,15,15.0,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,785698059290487,352769462489998,,2.0,,,,,,,1.0,
1858000,1,17,3,31,22332,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,9,9.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785696673290487,352769464489998,,1.0,,,,,,53.5521,3.0,
