PROJECT_NAME,LOAD_TYPE,BEGIN_INVYR_LOADED,END_INVYR_LOADED,LATEST_LOAD_DATE,CURRENT_CDS,RECORDS_LOADED,CREATED_DATE,MODIFIED_DATE
"FIA-Urban Inventory of Providence, RI",STAT_SAMP,2015,2022,2024-11-08 09:10:45,FIA Urban-10,8.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Providence, RI",ITREE_DATA,2015,2022,2024-10-29 14:44:32,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Washington, DC",MODELED,2018,2022,2024-08-22 13:35:11,FIA Urban-10,76.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Washington, DC",PROJECT,2018,2022,2024-11-08 09:09:10,FIA Urban-10,9.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Washington, DC",INVENTORY,2018,2022,2024-08-22 14:15:50,FIA Urban-10,461.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Washington, DC",STAT_SAMP,2018,2022,2024-11-08 09:10:57,FIA Urban-10,14.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Washington, DC",ITREE_DATA,2018,2022,2024-10-29 14:50:04,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Kansas City, MO",MODELED,2016,2022,2024-08-22 13:35:10,FIA Urban-10,68.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Kansas City, MO",PROJECT,2016,2022,2024-11-08 09:09:09,FIA Urban-10,11.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Kansas City, MO",INVENTORY,2016,2022,2024-08-23 05:57:30,FIA Urban-10,549.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Kansas City, MO",STAT_SAMP,2016,2022,2024-11-08 09:10:42,FIA Urban-10,16.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Kansas City, MO",ITREE_DATA,2016,2022,2024-10-29 14:40:45,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Minneapolis, MN",MODELED,2017,2022,2024-08-22 13:36:46,FIA Urban-10,61.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Minneapolis, MN",PROJECT,2017,2022,2024-11-08 09:09:09,FIA Urban-10,7.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Minneapolis, MN",INVENTORY,2017,2022,2024-09-11 08:41:48,FIA Urban-10,575.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Minneapolis, MN",STAT_SAMP,2017,2022,2024-11-08 09:11:02,FIA Urban-10,8.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Minneapolis, MN",ITREE_DATA,2017,2022,2024-11-25 10:58:10,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of San Antonio, TX",MODELED,2017,2022,2024-08-22 13:35:10,FIA Urban-10,70.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of San Antonio, TX",PROJECT,2017,2022,2024-11-08 09:09:10,FIA Urban-10,10.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of San Antonio, TX",INVENTORY,2017,2022,2024-08-23 06:54:09,FIA Urban-10,473.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of San Antonio, TX",STAT_SAMP,2017,2022,2024-11-08 09:10:51,FIA Urban-10,20.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of San Antonio, TX",ITREE_DATA,2017,2022,2024-10-29 14:45:33,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Springfield, MO",MODELED,2016,2020,2024-08-22 13:35:11,FIA Urban-10,60.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Springfield, MO",PROJECT,2016,2020,2024-11-08 09:09:10,FIA Urban-10,7.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Springfield, MO",INVENTORY,2016,2020,2024-08-22 14:32:26,FIA Urban-10,264.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Springfield, MO",STAT_SAMP,2016,2020,2024-11-08 09:10:52,FIA Urban-10,12.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Springfield, MO",ITREE_DATA,2016,2020,2024-10-29 14:47:50,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
