PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,CONDPROP_UNADJ,PCT_TREE_COVER,PCT_SHRUB_SEED_COVER,GR_COV_PCT_BLDG,GR_COV_PCT_IMPERVIOUS,GR_COV_PCT_PERMEABLE,GR_COV_PCT_HERBACEOUS,GR_COV_PCT_WATER,CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN
1856929,1,17,3,31,23329,11,1,1.0,,,,,,,,785698803290487,352769611489998,785698792290487,785698785290487,
1855519,1,17,3,31,23400,1,2,0.0581965572,0.0,0.0,1.0,99.0,0.0,0.0,0.0,785694404290487,352769612489998,785694395290487,785694390290487,
1855532,1,17,3,31,23387,12,1,1.0,,,,,,,,785698850290487,352769613489998,785698841290487,785698834290487,
1857337,1,17,3,31,23825,11,1,0.6935489319,,,,,,,,785697767290487,352769615489998,785697756290487,785697750290487,
1852352,4,17,3,31,20202,13,1,1.0,,,,,,,,785698881290487,352769616489998,785698863290487,785698859290487,
1852442,4,17,3,31,20004,1,1,0.5681164315,75.0,3.0,2.0,75.0,2.0,21.0,0.0,785698275290487,352769622489998,785698266290487,785698261290487,
1852442,4,17,3,31,20004,14,2,0.0045496185,,,,,,,,785698286290487,352769622489998,785698268290487,785698262290487,
1852454,4,17,3,31,20207,1,2,0.1023438616,0.0,0.0,0.0,5.0,0.0,95.0,0.0,785697796290487,352769624489998,785697787290487,785697784290487,
1852454,4,17,3,31,20207,11,1,1.0,,,,,,,,785697798290487,352769624489998,785697788290487,785697783290487,
1852454,4,17,3,31,20207,13,1,1.0,,,,,,,,785697800290487,352769624489998,785697790290487,785697783290487,
1852504,4,17,3,31,20044,1,2,0.1379348358,45.0,0.0,0.0,65.0,0.0,35.0,0.0,785698354290487,352769625489998,785698345290487,785698339290487,
1852401,5,17,3,31,20132,1,2,0.3527451673,10.0,0.0,0.0,73.0,1.0,26.0,0.0,785697827290487,352769626489998,785697814290487,785697811290487,
1852426,4,17,3,31,20011,11,1,1.0,,,,,,,,785696068290487,352769627489998,785696049290487,785696041290487,
1852426,4,17,3,31,20011,12,1,1.0,,,,,,,,785696069290487,352769627489998,785696050290487,785696041290487,
1469863,5,55,5,59,20261,12,2,0.0212409462,,,,,,,,522594157126144,923462,478152665489998,478152663489998,
1469863,5,55,5,59,20261,13,1,1.0,,,,,,,,522594158126144,923462,478152666489998,478152662489998,
1469516,1,55,5,59,22311,1,2,0.3114902531,0.0,0.0,0.0,100.0,0.0,0.0,0.0,478152699489998,923463,478152687489998,478152686489998,
1469516,1,55,5,59,22311,13,1,1.0,,,,,,,,522594162126144,923463,478152690489998,478152685489998,
1469516,1,55,5,59,22311,14,1,0.7183039275,,,,,,,,522594163126144,923463,478152691489998,478152685489998,
1469732,5,55,5,59,20053,11,1,1.0,,,,,,,,707806331126144,923571,707806320126144,707806316126144,
1469784,5,55,5,59,20076,13,1,1.0,,,,,,,,785696367290487,923575,785696359290487,785696352290487,
1469663,6,55,5,59,20034,1,1,0.9988786408,1.0,1.0,49.0,19.0,1.0,31.0,0.0,785693883290487,923576,785693875290487,785693870290487,
1469919,4,55,5,59,20011,1,2,0.0801216393,50.0,30.0,0.0,0.0,70.0,30.0,0.0,505940854126144,923671,505940844126144,505940843126144,
1469919,4,55,5,59,20011,13,1,1.0,,,,,,,,522594690126144,923671,505940847126144,505940842126144,
1469468,1,55,5,59,22287,1,1,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,491757838126144,923674,491757832126144,491757831126144,
1468139,1,55,5,59,21698,1,1,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,491757879126144,923677,491757873126144,491757872126144,
1468139,1,55,5,59,21698,12,1,1.0,,,,,,,,522594713126144,923677,491757875126144,491757872126144,
1469153,1,55,5,59,22205,1,1,1.0,,,,,,,,707807277126144,923686,707807272126144,707807270126144,
1467836,1,55,5,59,21546,11,1,1.0,,,,,,,,707804924126144,923687,707804907126144,707804901126144,
1468024,1,55,5,59,21640,12,1,1.0,,,,,,,,707805513126144,923691,707805502126144,707805495126144,
1469881,4,55,5,59,20272,1,2,0.0563624181,,,,,,,,785698015290487,923692,785698006290487,785698000290487,
1469478,1,55,5,59,22292,1,2,0.1323202929,15.0,0.0,0.0,100.0,0.0,0.0,0.0,785694671290487,923693,785694652290487,785694647290487,
1469478,1,55,5,59,22292,14,1,1.0,,,,,,,,785694677290487,923693,785694656290487,785694646290487,
1467849,1,55,5,59,21553,12,1,1.0,,,,,,,,785692896290487,923694,785692883290487,785692876290487,
1468181,1,55,5,59,21719,14,1,1.0,,,,,,,,785692988290487,923697,785692980290487,785692974290487,
1468390,1,55,5,59,21823,12,1,1.0,,,,,,,,785696418290487,923698,785696412290487,785696408290487,
1796315,4,17,3,97,20064,1,1,1.0,0.0,3.0,0.0,0.0,1.0,85.0,14.0,785696167290487,352769631489998,785696155290487,785696152290487,
1796315,4,17,3,97,20064,11,1,1.0,,,,,,,,785696168290487,352769631489998,785696156290487,785696152290487,
1852988,4,17,3,43,20044,11,1,1.0,,,,,,,,785698964290487,352769633489998,785698957290487,785698955290487,
1852988,4,17,3,43,20044,13,1,1.0,,,,,,,,785698966290487,352769633489998,785698959290487,785698955290487,
1853021,4,17,3,43,20002,1,1,1.0,6.0,2.0,0.0,0.0,0.0,100.0,0.0,785697211290487,352769635489998,785697203290487,785697200290487,
1837516,4,17,3,197,20168,1,1,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,785693784290487,352769636489998,785693778290487,785693776290487,
1837516,4,17,3,197,20168,14,1,1.0,,,,,,,,785693788290487,352769636489998,785693782290487,785693776290487,
1837451,4,17,3,197,20160,13,1,1.0,,,,,,,,785696202290487,352769637489998,785696190290487,785696181290487,
1837573,4,17,3,197,20140,11,1,1.0,,,,,,,,785693809290487,352769638489998,785693801290487,785693797290487,
1852466,4,17,3,31,20092,1,1,0.8052622227,9.0,14.0,0.0,0.0,70.0,30.0,0.0,785695516290487,352769642489998,785695506290487,785695502290487,
1852466,4,17,3,31,20092,12,1,1.0,,,,,,,,785695520290487,352769642489998,785695508290487,785695502290487,
1853010,5,17,3,43,20028,13,1,1.0,,,,,,,,785698997290487,352769643489998,785698986290487,785698977290487,
1853030,4,17,3,43,20009,14,1,1.0,,,,,,,,785695565290487,352769644489998,785695551290487,785695545290487,
1797320,4,17,3,111,20200,11,1,1.0,,,,,,,,785694453290487,352769647489998,785694438290487,785694434290487,
1797320,4,17,3,111,20200,13,1,1.0,,,,,,,,785694455290487,352769647489998,785694440290487,785694434290487,
1797328,4,17,3,111,20065,1,1,1.0,40.0,35.0,0.0,0.0,15.0,85.0,0.0,785696298290487,352769648489998,785696272290487,785696269290487,
1797328,4,17,3,111,20065,12,1,1.0,,,,,,,,785696300290487,352769648489998,785696274290487,785696269290487,
1796103,4,17,3,93,20014,12,1,1.0,,,,,,,,785699067290487,352769649489998,785699059290487,785699056290487,
1796129,4,17,3,93,20033,11,1,1.0,,,,,,,,785698408290487,352769650489998,785698397290487,785698391290487,
1837534,4,17,3,197,20021,13,1,1.0,,,,,,,,785694538290487,352769651489998,785694529290487,785694523290487,
1837518,4,17,3,197,20024,12,1,1.0,,,,,,,,785698457290487,352769652489998,785698452290487,785698448290487,
1917561,4,18,4,127,20069,12,1,0.9367863727,,,,,,,,785694600290487,352769655489998,785694584290487,785694578290487,
1917561,4,18,4,127,20069,13,1,0.5719131774,,,,,,,,785694601290487,352769655489998,785694585290487,785694578290487,
1468333,1,55,5,59,21795,1,2,0.2768378991,33.0,15.0,0.0,0.0,10.0,70.0,20.0,942083539290487,924132,942083528290487,942083524290487,
1469860,5,55,5,59,20288,1,2,0.3370891948,17.0,1.0,0.0,33.0,3.0,64.0,0.0,942159839290487,924134,942159830290487,942159827290487,
1469860,5,55,5,59,20288,11,1,1.0,,,,,,,,942159842290487,924134,942159831290487,942159826290487,
1469860,5,55,5,59,20288,12,1,0.5443723104,,,,,,,,942159843290487,924134,942159832290487,942159826290487,
1469860,5,55,5,59,20288,14,1,1.0,,,,,,,,942159845290487,924134,942159834290487,942159826290487,
1469866,5,55,5,59,20263,12,1,1.0,,,,,,,,1287189683290487,924140,1287189414290487,1287189299290487,
1856819,1,17,3,31,23196,13,1,1.0,,,,,,,,785693909290487,352769388489998,785693903290487,785693898290487,
1856813,1,17,3,31,23202,1,1,0.7607861071,80.0,0.0,0.0,76.0,0.0,24.0,0.0,785698483290487,352769390489998,785698475290487,785698468290487,
1856813,1,17,3,31,23202,1,3,0.112287429,,,,,,,,785698485290487,352769390489998,785698475290487,785698470290487,
1856813,1,17,3,31,23202,13,1,1.0,,,,,,,,785698491290487,352769390489998,785698478290487,785698468290487,
1856836,1,17,3,31,23260,11,1,1.0,,,,,,,,785695703290487,352769392489998,785695695290487,785695693290487,
1856829,1,17,3,31,23267,13,1,1.0,,,,,,,,785696466290487,352769397489998,785696458290487,785696453290487,
1859354,1,17,3,31,21824,1,1,1.0,1.0,0.0,0.0,99.0,1.0,0.0,0.0,785698540290487,352769398489998,785698532290487,785698530290487,
1859354,1,17,3,31,21824,13,1,1.0,,,,,,,,785698543290487,352769398489998,785698535290487,785698530290487,
1856785,1,17,3,31,23176,11,1,1.0,,,,,,,,707806116126144,352769662489998,707806104126144,707806097126144,
1857043,1,17,3,31,23512,11,1,1.0,,,,,,,,707807324126144,352769665489998,707807316126144,707807312126144,
1857043,1,17,3,31,23512,12,1,1.0,,,,,,,,707807325126144,352769665489998,707807317126144,707807312126144,
1852391,4,17,3,31,20027,11,1,1.0,,,,,,,,707806701126144,352769666489998,707806690126144,707806685126144,
1857771,1,17,3,31,22053,11,2,0.8853838355,,,,,,,,707806177126144,352769673489998,707806163126144,707806154126144,
1857778,1,17,3,31,22046,1,1,0.8821954819,,,,,,,,707806762126144,352769674489998,707806754126144,707806749126144,
1857778,1,17,3,31,22046,1,2,0.1178045181,90.0,0.0,0.0,40.0,0.0,60.0,0.0,707806763126144,352769674489998,707806754126144,707806750126144,
1857778,1,17,3,31,22046,12,1,1.0,,,,,,,,707806766126144,352769674489998,707806756126144,707806749126144,
1857070,1,17,3,31,23539,14,1,1.0,,,,,,,,707807103126144,352769677489998,707807091126144,707807077126144,
1857750,1,17,3,31,22020,11,1,1.0,,,,,,,,707806801126144,352769678489998,707806789126144,707806780126144,
1854876,1,17,3,31,22214,1,1,0.8367903803,10.0,10.0,16.0,27.0,12.0,45.0,0.0,707806378126144,352769679489998,707806369126144,707806360126144,
1854876,1,17,3,31,22214,12,1,1.0,,,,,,,,707806383126144,352769679489998,707806371126144,707806360126144,
1854876,1,17,3,31,22214,13,1,1.0,,,,,,,,707806384126144,352769679489998,707806372126144,707806360126144,
1856944,1,17,3,31,23368,1,2,0.1414548969,0.0,5.0,0.0,55.0,0.0,45.0,0.0,707805402126144,352769683489998,707805393126144,707805386126144,
1856944,1,17,3,31,23368,11,1,1.0,,,,,,,,707805407126144,352769683489998,707805394126144,707805385126144,
1857128,1,17,3,31,23616,11,1,1.0,,,,,,,,707805629126144,352769685489998,707805624126144,707805622126144,
1856989,1,17,3,31,23458,1,2,0.4889192242,1.0,1.0,81.0,10.0,3.0,6.0,0.0,785693981290487,352769401489998,785693972290487,785693966290487,
1857643,1,17,3,31,21750,1,2,0.1831919076,0.0,0.0,0.0,100.0,0.0,0.0,0.0,785696488290487,352769402489998,785696478290487,785696476290487,
1855668,1,17,3,31,22170,1,1,0.736689879,15.0,2.0,70.0,3.0,2.0,25.0,0.0,785697431290487,352769404489998,785697423290487,785697414290487,
1857885,1,17,3,31,22123,14,2,0.9787590531,,,,,,,,785698579290487,352769405489998,785698567290487,785698557290487,
1857898,1,17,3,31,22191,11,1,0.8655384704,,,,,,,,785693188290487,352769406489998,785693176290487,785693172290487,
1857120,1,17,3,31,23543,1,1,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,785694762290487,352769407489998,785694756290487,785694754290487,
1857816,1,17,3,31,22065,11,1,1.0,,,,,,,,785696511290487,352769409489998,785696505290487,785696502290487,
1858016,1,17,3,31,22316,1,1,1.0,7.0,0.0,0.0,0.0,0.0,100.0,0.0,785694047290487,352769410489998,785694039290487,785694037290487,
1858016,1,17,3,31,22316,11,1,1.0,,,,,,,,785694048290487,352769410489998,785694040290487,785694037290487,
1856897,1,17,3,31,23307,11,1,1.0,,,,,,,,785697483290487,352769411489998,785697469290487,785697460290487,
1855302,1,17,3,31,24538,13,1,1.0,,,,,,,,785696533290487,352769412489998,785696527290487,785696522290487,
1852398,4,17,3,31,20104,13,1,1.0,,,,,,,,1287852815290487,352769413489998,1287852804290487,1287852796290487,
1852360,4,17,3,31,20143,13,1,1.0,,,,,,,,1287852619290487,352769414489998,1287852611290487,1287852606290487,
1852428,4,17,3,31,20184,1,1,1.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,1287854231290487,352769415489998,1287854223290487,1287854220290487,
1852428,4,17,3,31,20184,13,1,1.0,,,,,,,,1287854234290487,352769415489998,1287854226290487,1287854220290487,
1852362,4,17,3,31,20100,12,1,1.0,,,,,,,,1287852843290487,352769416489998,1287852833290487,1287852826290487,
1852385,4,17,3,31,20049,13,1,1.0,,,,,,,,1287853687290487,352769418489998,1287853679290487,1287853674290487,
1796293,4,17,3,97,20085,11,1,1.0,,,,,,,,1287853337290487,352769419489998,1287853327290487,1287853323290487,
1796366,4,17,3,97,20202,1,1,0.8916164092,3.0,0.0,0.0,0.0,0.0,100.0,0.0,1287854253290487,352769420489998,1287854245290487,1287854242290487,
1796316,4,17,3,97,20017,14,1,1.0,,,,,,,,1287856561290487,352769421489998,1287855387290487,1287855260290487,
1796349,4,17,3,97,20068,11,1,1.0,,,,,,,,1287852401290487,352769422489998,1287852390290487,1287852383290487,
1852455,4,17,3,31,20123,1,1,1.0,85.0,5.0,0.0,0.0,5.0,95.0,0.0,1287853844290487,352769424489998,1287853831290487,1287853826290487,
1853004,4,17,3,43,20036,1,1,0.9298282804,60.0,75.0,0.0,0.0,99.0,1.0,0.0,1287852892290487,352769425489998,1287852882290487,1287852878290487,
1853004,4,17,3,43,20036,1,2,0.0701717196,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1287852893290487,352769425489998,1287852882290487,1287852879290487,
1853004,4,17,3,43,20036,14,1,1.0,,,,,,,,1287852898290487,352769425489998,1287852886290487,1287852878290487,
1855295,1,17,3,31,24545,11,1,1.0,,,,,,,,707805861126144,352769686489998,707805855126144,707805853126144,
1852348,4,17,3,31,20149,11,1,1.0,,,,,,,,707805656126144,352769689489998,707805645126144,707805640126144,
1852460,4,17,3,31,20001,12,1,1.0,,,,,,,,707807365126144,352769691489998,707807355126144,707807349126144,
1853053,4,17,3,43,29990,14,1,1.0,,,,,,,,707807141126144,352769692489998,707807133126144,707807127126144,
1852411,4,17,3,31,20032,11,1,1.0,,,,,,,,707807403126144,352769693489998,707807394126144,707807388126144,
