DB_VERSION,DESCRIPTION,START_DATE,RETIRED_DATE,IS_ACTIVE
1.6.1,Deploys the first Urban GRM compilation logic as well as many other improvements,2022-12-12 00:00:00,2023-05-12 00:00:00,N
1.0.0,Initial deployment of FICS. Supports current National Standard Volume/Biomass (NSVB) output for non-tropical hardwoods and softwoods excluding woodland species,2023-01-04 09:37:51,2023-05-12 00:00:00,N
4.0.00,THIS IS THE INITIAL INSTALL OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.01,THIS IS RELEASE 01 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.02,THIS IS RELEASE 02 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.03,THIS IS RELEASE 03 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.04,THIS IS RELEASE 04 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.05,THIS IS RELEASE 05 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.06,THIS IS RELEASE 06 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.07,THIS IS RELEASE 07 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.08,THIS IS RELEASE 08 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.09,THIS IS RELEASE 09 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.10,THIS IS RELEASE 10 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-09-25 00:00:00,N
4.0.11,THIS IS RELEASE 11 OF NIMS VERSION 4.0 PROD,2009-09-25 00:00:00,2009-10-12 00:00:00,N
4.0.12,THIS IS RELEASE 12 OF NIMS VERSION 4.0 PROD,2009-10-12 00:00:00,2009-10-24 00:00:00,N
4.0.13,THIS IS RELEASE 13 OF NIMS VERSION 4.0 PROD,2009-10-24 00:00:00,2009-10-29 00:00:00,N
4.0.14,THIS IS RELEASE 14 OF NIMS VERSION 4.0 PROD,2009-10-29 00:00:00,2009-11-06 00:00:00,N
4.0.15,THIS IS RELEASE 15 OF NIMS VERSION 4.0 PROD,2009-11-06 00:00:00,2009-11-25 00:00:00,N
4.0.16,THIS IS RELEASE 16 OF NIMS VERSION 4.0 PROD,2009-11-25 00:00:00,2009-12-04 00:00:00,N
